region,recY,annual_adj_catch,totcatch,enh_contr
WCVI,1980,29323,783500,0.0374256541161455
ISC,1980,74319,162891,0.45624988489235135
ISC,1981,46256,61356,0.7538952995632049
WCVI,1982,92667,1660737,0.05579872068846542
ISC,1982,138536,296540,0.4671747487691374
ISC,1983,111533,131369,0.849005473132931
ISC,1984,180917,164134,1.1022518186359926
WCVI,1985,1271263,2428031,0.5235777467421132
ISC,1985,482398,578407,0.8340113449526025
WCVI,1986,722838,1761941,0.41025096754091084
ISC,1986,333928,468746,0.7123858123589322
WCVI,1987,283104,528900,0.5352694271128757
ISC,1987,265634,367872,0.7220826809324983
WCVI,1988,1576414,2920436,0.5397872098549669
ISC,1988,63787,204020,0.3126507205175963
WCVI,1989,318852,793208,0.40197779144940543
ISC,1989,81687,123033,0.6639438199507449
WCVI,1981,379,198604,0.001908320074117339
WCVI,1983,440,139631,0.0031511627074217044
WCVI,1984,164066,396615,0.4136656455252575
CCST,1985,36069,781237,0.04616908825362854
CCST,1986,174756,1990386,0.08780005486372995
CCST,1987,217888,884163,0.24643419821910667
CCST,1988,454761,1909558,0.23814987552093206
CCST,1989,132153,360059,0.3670315142796042
NCST,1984,36388,378367,0.09617117771898712
NCST,1985,55761,703807,0.07922768599914465
NCST,1986,22015,237761,0.09259298202817115
NCST,1987,47234,191226,0.2470061602501752
NCST,1988,79464,396356,0.20048643138996255
NCST,1989,20142,395653,0.050908245356410795
NCST,1981,145,42872,0.0033821608509050196
NCST,1982,456,79041,0.0057691577788742555
CCST,1982,3109,448479,0.006932320130931437
CCST,1983,22191,356771,0.062199562184146136
CCST,1984,13235,298775,0.044297548322316124
CCST,1981,196,513611,3.8161176454554126e-4
WCVI,1990,330386.16323456174,1209889,0.2730714662539801
ISC,1990,109955.58105143765,373047,0.2947499404939261
WCVI,1991,241712.2818067231,724871,0.3334555828647071
ISC,1991,259753.9477871147,500987,0.5184844073541124
WCVI,1992,1053120.0312353703,2574771,0.40901502744724494
ISC,1992,457027.62031640264,607717,0.7520402100260527
WCVI,1993,914898.7222991149,2141968,0.4271299675341158
ISC,1993,371313.8563745291,678522,0.5472392293463278
CCST,1993,64315.665605712325,300583,0.21396973749584083
WCVI,1994,902696.8032457456,2292118,0.3938264972596287
ISC,1994,336674.75836033374,505774,0.665662446785192
CCST,1994,116374.64667837323,788810,0.14753191095241341
WCVI,1995,172054.61113341208,496073,0.3468332506171714
ISC,1995,21790.227750885482,71261,0.3057805496819506
WCVI,1996,172176.317432265,424314,0.4057757166444308
WCVI,1997,922523.6988761515,1235673,0.7465759135921489
WCVI,1998,1011417.2600000002,2230933,0.4533606612121477
ISC,1998,322295.0271428567,581568,0.5541828765386966
WCVI,1999,134807.00270155582,241445,0.5583342073828649
ISC,1999,13814.106718528992,43591,0.3169027257582756
WCVI,2000,46780.159864239446,213970,0.21862952686937162
WCVI,2001,203780.64421655142,421113,0.4839096494683171
ISC,2001,23277.535702361085,111710,0.20837468178642096
WCVI,2002,133005.10600343,568444,0.2339810183649225
ISC,2002,68797.90000245038,239746,0.28696161772229933
WCVI,2003,71474.66934102937,938382,0.07616798845356088
WCVI,2004,20970.29517055052,919381,0.022809145686663656
ISC,2004,11741.505673758858,170713,0.06877921232570958
WCVI,2005,30023.276727233202,809474,0.03708985925086315
ISC,2005,7016.98156892612,100333,0.06993692572659166
WCVI,2006,29678.321255565497,817017,0.036325218759910134
ISC,2006,5307.341347156846,265373,0.019999552882760663
WCVI,2007,14098.224519012281,441799,0.0319109471026695
ISC,2007,1755.1421385648598,62985,0.027866033794790183
WCVI,2008,2456.66464182629,278654,0.008816182943098933
WCVI,2009,6789.72502423263,892012,0.00761169695501028
WCVI,2010,6553.8524818947,61310,0.10689695778657152
WCVI,2011,20391.6840537241,646517,0.03154083195604153
ISC,2011,137953.556532357,452128,0.30512057765136646
WCVI,2012,49343.945328084,365088,0.13515630567995662
ISC,2012,1742.35270341207,14070,0.1238345915715757
WCVI,2013,38331.3257967667,593531,0.06458184289745052
ISC,2013,12801.294549653601,30873,0.41464368702923593
WCVI,2014,21224.9681192907,345178,0.0614899214877272
WCVI,2016,390040.834084507,1309466,0.2978625134860371
CCST,1990,164045.19571428563,1070859,0.15319028528899287
CCST,1991,64675.06285714294,430268,0.1503134391986923
NCST,1992,137781.18201680697,389478,0.35375857434003194
CCST,1992,48871.13949579832,267716,0.1825484449782543
CCST,1995,176612.54999999996,956094,0.18472299794790048
CCST,1996,56434.82285714284,370446,0.15234291329139157
NCST,1994,63215.95285714283,626947,0.10083141454882602
ISC,1997,4169.929411764703,20770,0.20076694327225342
NCST,1993,59905.5571428572,796921,0.0751712618225109
ISC,2000,3650.285714285713,21693,0.16827021224753205
NCST,1990,49445.64126050425,448135,0.11033648623853136
NCST,1996,76771.9628571429,521733,0.14714799113175303
CCST,1997,65591.46571428566,302358,0.21693312468757453
NCST,1998,72155.53857142854,106401,0.6781471844383844
CCST,1998,167722.76714285713,1179286,0.14222399582701492
NCST,1999,93326.74000000005,369093,0.25285426708173836
CCST,1999,48258.36714285714,301833,0.15988433054986412
CCST,2000,27857.082857142857,97535,0.2856111432526053
CCST,2001,148663.4271428571,510419,0.29125762783684994
NCST,2002,22004.171428571455,95909,0.22942759729088463
CCST,2002,151107.5971428572,777490,0.19435310697611186
NCST,2003,760.4042857142854,5941,0.12799264193137272
CCST,2003,296718.2071428572,1345394,0.22054372707389597
CCST,2004,489685.018571428,1235642,0.39630007605069106
CCST,2005,59036.9571428572,341954,0.17264590308303807
CCST,2006,125178.8271428572,380476,0.32900584305674263
CCST,2007,54115.604285714304,258080,0.2096853854840139
CCST,2008,855.591428571429,9764,0.08762714344238313
CCST,2009,6780.80857142857,44177,0.15349182994382982
CCST,2011,12478.56285714286,334737,0.03727870793232556
CCST,2012,73389.76857142855,326239,0.22495706697062137
CCST,2013,187768.93285714285,547620,0.34288180281425595
CCST,2014,30504.198571428602,229560,0.13288115774276268
CCST,2015,246299.6,874823,0.2815422091097285
CCST,2016,124444.48000000004,475253,0.2618489099490167
CCST,2017,111069.0585714286,316501,0.35092798623520494
CCST,2018,136225.1142857143,452439,0.3010905653264071
NCST,2001,6216.962857142856,101108,0.06148833778872943
ISC,2003,1891.9,42057,0.044984188125639014
NCST,1991,68851.50000000006,548340,0.12556351898457171
NCST,1995,11843.528571428567,670612,0.01766077638251115
NCST,1997,35509.61857142853,285552,0.12435429824140097
NCST,2000,64859.15714285717,220980,0.2935069107740844
