Species,Licence Year,Disposition,BCF,Date of bias correction analysis,iREC Outliers removed?,SD
Chinook,2012,Kept,1.283520208,2019-02-05,No,
Chinook,2013,Kept,1.164981456,2019-02-05,No,
Chinook,2014,Kept,1.549027684,2019-02-05,No,
Chinook,2015,Kept,1.145588348,2019-02-05,No,
Chinook,2016,Kept,1.126481753,2019-02-05,No,
Chinook,2017,Kept,1.286932035,2019-02-05,No,
Chinook,2018,Kept,1.033431494,2019-02-05,No,
Chinook,2019,Kept,1.031704612,2020-03-03,Yes,
Chinook,2020,Kept,0.943458197,2021-01-28,Yes,
Chinook,2012,Released,1.75290093,2019-02-05,No,
Chinook,2013,Released,1.238336801,2019-02-05,No,
Chinook,2014,Released,1.924927024,2019-02-05,No,
Chinook,2015,Released,1.533881027,2019-02-05,No,0.125980139
Chinook,2016,Released,1.347820617,2019-02-05,No,0.11443303
Chinook,2017,Released,1.084947549,2019-02-05,No,0.083513168
Chinook,2018,Released,1.043328793,2019-02-05,No,0.078008395
Chinook,2019,Released,0.935571461,2020-03-03,Yes,0.094822481
Chinook,2020,Released,1.009201943,2021-01-28,Yes,
Coho,2012,Kept,1.215012412,2018-06-22,No,
Coho,2013,Kept,1.387573011,2018-06-22,No,
Coho,2014,Kept,1.849020415,2018-06-22,No,
Coho,2015,Kept,1.576996007,2019-02-05,No,
Coho,2016,Kept,1.750031113,2019-02-05,No,
Coho,2017,Kept,1.924243756,2019-02-05,No,
Coho,2018,Kept,1.513628949,2019-02-05,No,
Coho,2019,Kept,1.121807035,2020-03-03,No,
Coho,2020,Kept,1.102501811,2021-01-28,No,
Coho,2012,Released,1.053585238,2018-06-22,No,
Coho,2013,Released,1.302358259,2018-06-22,No,
Coho,2014,Released,2.401301227,2018-06-22,No,
Coho,2015,Released,1.617596471,2018-06-22,No,
Coho,2016,Released,1.731783153,2018-06-22,No,
Coho,2017,Released,1.457041862,2018-06-22,No,
Coho,2018,Released,1.683835447,2019-02-05,No,
Coho,2019,Released,0.971298024,2020-03-03,No,
Coho,2020,Released,1.169506646,2021-01-28,No,
